code,codeDotted,billable,category,shortTitle,longTitle
O3142X3,O31.42X3,true,O31,"Cont preg aft vanishing twin syn 1 fts or more,2nd tri,fts3","Continuing pregnancy after vanishing twin syndrome of one fetus or more, second trimester, fetus 3"
O3142X4,O31.42X4,true,O31,"Cont preg aft vanishing twin syn 1 fts or more,2nd tri,fts4","Continuing pregnancy after vanishing twin syndrome of one fetus or more, second trimester, fetus 4"
O3142X5,O31.42X5,true,O31,"Cont preg aft vanishing twin syn 1 fts or more,2nd tri,fts5","Continuing pregnancy after vanishing twin syndrome of one fetus or more, second trimester, fetus 5"
O3142X9,O31.42X9,true,O31,"Cont preg aft vanishing twin syn 1 fts or more, 2nd tri, oth","Continuing pregnancy after vanishing twin syndrome of one fetus or more, second trimester, other fetus"
O3143,O31.43,false,O31,"Cont preg aft vanishing twin syn of one fts or more, 3rd tri","Continuing pregnancy after vanishing twin syndrome of one fetus or more, third trimester"
O3143X0,O31.43X0,true,O31,"Cont preg aft vanishing twin syn 1 fts or more,3rd tri,unsp","Continuing pregnancy after vanishing twin syndrome of one fetus or more, third trimester, not applicable or unspecified"
O3143X1,O31.43X1,true,O31,"Cont preg aft vanishing twin syn 1 fts or more,3rd tri,fts1","Continuing pregnancy after vanishing twin syndrome of one fetus or more, third trimester, fetus 1"
O3143X2,O31.43X2,true,O31,"Cont preg aft vanishing twin syn 1 fts or more,3rd tri,fts2","Continuing pregnancy after vanishing twin syndrome of one fetus or more, third trimester, fetus 2"
O3143X3,O31.43X3,true,O31,"Cont preg aft vanishing twin syn 1 fts or more,3rd tri,fts3","Continuing pregnancy after vanishing twin syndrome of one fetus or more, third trimester, fetus 3"
O3143X4,O31.43X4,true,O31,"Cont preg aft vanishing twin syn 1 fts or more,3rd tri,fts4","Continuing pregnancy after vanishing twin syndrome of one fetus or more, third trimester, fetus 4"
O3143X5,O31.43X5,true,O31,"Cont preg aft vanishing twin syn 1 fts or more,3rd tri,fts5","Continuing pregnancy after vanishing twin syndrome of one fetus or more, third trimester, fetus 5"
O3143X9,O31.43X9,true,O31,"Cont preg aft vanishing twin syn 1 fts or more, 3rd tri, oth","Continuing pregnancy after vanishing twin syndrome of one fetus or more, third trimester, other fetus"
Q87A,Q87.A,true,Q87,Loeys-Dietz syndrome,Loeys-Dietz syndrome
QA1,QA1,false,QA1,"Genetic disorders associated with neoplasms, NEC","Genetic disorders associated with neoplasms, not elsewhere classified"
QA17,QA1.7,false,QA1,"Inherited neoplasm predisposition synd w mult systems, NEC","Inherited neoplasm predisposition syndromes involving multiple systems, not elsewhere classified"
QA171,QA1.71,true,QA1,Lynch syndrome,Lynch syndrome
