code,codeDotted,billable,category,shortTitle,longTitle
T52893D,T52.893D,true,T52,"Toxic effect of other organic solvents, assault, subs","Toxic effect of other organic solvents, assault, subsequent encounter"
T52893S,T52.893S,true,T52,"Toxic effect of other organic solvents, assault, sequela","Toxic effect of other organic solvents, assault, sequela"
T52894,T52.894,false,T52,"Toxic effect of other organic solvents, undetermined","Toxic effect of other organic solvents, undetermined"
T52894A,T52.894A,true,T52,"Toxic effect of other organic solvents, undetermined, init","Toxic effect of other organic solvents, undetermined, initial encounter"
T52894D,T52.894D,true,T52,"Toxic effect of other organic solvents, undetermined, subs","Toxic effect of other organic solvents, undetermined, subsequent encounter"
T52894S,T52.894S,true,T52,"Toxic effect of other organic solvents, undet, sequela","Toxic effect of other organic solvents, undetermined, sequela"
T5982,T59.82,false,T59,Toxic effects of hexamethylene diisocyanate,Toxic effects of hexamethylene diisocyanate
T59821,T59.821,false,T59,"Toxic effect of hexamethylene diisocyanate, accidental","Toxic effect of hexamethylene diisocyanate, accidental (unintentional)"
T59821A,T59.821A,true,T59,"Toxic effect of hexamethylene diisocyanate, acc, init","Toxic effect of hexamethylene diisocyanate, accidental (unintentional), initial encounter"
T59821D,T59.821D,true,T59,"Toxic effect of hexamethylene diisocyanate, acc, subs","Toxic effect of hexamethylene diisocyanate, accidental (unintentional), subsequent encounter"
T59821S,T59.821S,true,T59,"Toxic effect of hexamethylene diisocyanate, acc, sequela","Toxic effect of hexamethylene diisocyanate, accidental (unintentional), sequela"
T59822,T59.822,false,T59,"Toxic effect of hexamethylene diisocyanate, self-harm","Toxic effect of hexamethylene diisocyanate, intentional self-harm"
T59822A,T59.822A,true,T59,"Toxic effect of hexamethylene diisocyanate, self-harm, init","Toxic effect of hexamethylene diisocyanate, intentional self-harm, initial encounter"
T59822D,T59.822D,true,T59,"Toxic effect of hexamethylene diisocyanate, self-harm, subs","Toxic effect of hexamethylene diisocyanate, intentional self-harm, subsequent encounter"
T59822S,T59.822S,true,T59,"Toxic effect of hexamethylene diisocyanate, slf-hrm, sequela","Toxic effect of hexamethylene diisocyanate, intentional self-harm, sequela"
T59823,T59.823,false,T59,"Toxic effect of hexamethylene diisocyanate, assault","Toxic effect of hexamethylene diisocyanate, assault"
T59823A,T59.823A,true,T59,"Toxic effect of hexamethylene diisocyanate, assault, init","Toxic effect of hexamethylene diisocyanate, assault, initial encounter"
T59823D,T59.823D,true,T59,"Toxic effect of hexamethylene diisocyanate, assault, subs","Toxic effect of hexamethylene diisocyanate, assault, subsequent encounter"
T59823S,T59.823S,true,T59,"Toxic effect of hexamethylene diisocyanate, assault, sequela","Toxic effect of hexamethylene diisocyanate, assault, sequela"
T59824,T59.824,false,T59,"Toxic effect of hexamethylene diisocyanate, undetermined","Toxic effect of hexamethylene diisocyanate, undetermined"
T59824A,T59.824A,true,T59,"Toxic effect of hexamethylene diisocyanate, undet, init","Toxic effect of hexamethylene diisocyanate, undetermined, initial encounter"
T59824D,T59.824D,true,T59,"Toxic effect of hexamethylene diisocyanate, undet, subs","Toxic effect of hexamethylene diisocyanate, undetermined, subsequent encounter"
T59824S,T59.824S,true,T59,"Toxic effect of hexamethylene diisocyanate, undet, sequela","Toxic effect of hexamethylene diisocyanate, undetermined, sequela"
T6585,T65.85,false,T65,Toxic effect of medetomidine,Toxic effect of medetomidine
T65851,T65.851,false,T65,"Toxic effect of medetomidine, accidental (unintentional)","Toxic effect of medetomidine, accidental (unintentional)"
T65851A,T65.851A,true,T65,"Toxic effect of medetomidine, accidental, init","Toxic effect of medetomidine, accidental (unintentional), initial encounter"
T65851D,T65.851D,true,T65,"Toxic effect of medetomidine, accidental, subs","Toxic effect of medetomidine, accidental (unintentional), subsequent encounter"
T65851S,T65.851S,true,T65,"Toxic effect of medetomidine, accidental, sequela","Toxic effect of medetomidine, accidental (unintentional), sequela"
T65852,T65.852,false,T65,"Toxic effect of medetomidine, intentional self-harm","Toxic effect of medetomidine, intentional self-harm"
T65852A,T65.852A,true,T65,"Toxic effect of medetomidine, self-harm, initial encounter","Toxic effect of medetomidine, intentional self-harm, initial encounter"
T65852D,T65.852D,true,T65,"Toxic effect of medetomidine, self-harm, subs","Toxic effect of medetomidine, intentional self-harm, subsequent encounter"
T65852S,T65.852S,true,T65,"Toxic effect of medetomidine, intentional self-harm, sequela","Toxic effect of medetomidine, intentional self-harm, sequela"
T65853,T65.853,false,T65,"Toxic effect of medetomidine, assault","Toxic effect of medetomidine, assault"
T65853A,T65.853A,true,T65,"Toxic effect of medetomidine, assault, initial encounter","Toxic effect of medetomidine, assault, initial encounter"
T65853D,T65.853D,true,T65,"Toxic effect of medetomidine, assault, subsequent encounter","Toxic effect of medetomidine, assault, subsequent encounter"
T65853S,T65.853S,true,T65,"Toxic effect of medetomidine, assault, sequela","Toxic effect of medetomidine, assault, sequela"
T65854,T65.854,false,T65,"Toxic effect of medetomidine, undetermined","Toxic effect of medetomidine, undetermined"
T65854A,T65.854A,true,T65,"Toxic effect of medetomidine, undetermined, init","Toxic effect of medetomidine, undetermined, initial encounter"
T65854D,T65.854D,true,T65,"Toxic effect of medetomidine, undetermined, subs","Toxic effect of medetomidine, undetermined, subsequent encounter"
T65854S,T65.854S,true,T65,"Toxic effect of medetomidine, undetermined, sequela","Toxic effect of medetomidine, undetermined, sequela"
Z6818,Z68.18,true,Z68,"Body mass index [BMI] 18.4 or less, adult","Body mass index [BMI] 18.4 or less, adult"
Z6819,Z68.19,true,Z68,"Body mass index [BMI] 18.5-19.9, adult","Body mass index [BMI] 18.5-19.9, adult"
Z77013,Z77.013,true,Z77,Contact with and (suspected) exposure to gadolinium,Contact with and (suspected) exposure to gadolinium
Z7732,Z77.32,true,Z77,Contact with and exposure to burn pits in war theater,Contact with and (suspected) exposure to burn pits in war theater
Z7733,Z77.33,true,Z77,Contact with and (suspected) exposure to Agent Orange,Contact with and (suspected) exposure to Agent Orange
Z774,Z77.4,false,Z77,Contact with and (suspected) exposure to blast overpressure,Contact with and (suspected) exposure to blast overpressure
Z7740,Z77.40,true,Z77,Contact with and exposure to unspecified blast overpressure,Contact with and (suspected) exposure to unspecified blast overpressure
Z7741,Z77.41,true,Z77,Contact with and exposure to low-level blast overpressure,Contact with and (suspected) exposure to low-level blast overpressure
Z7742,Z77.42,true,Z77,Contact with and exposure to high-level blast overpressure,Contact with and (suspected) exposure to high-level blast overpressure
Z7749,Z77.49,true,Z77,Contact with and exposure to other blast overpressure,Contact with and (suspected) exposure to other blast overpressure
Z8617,Z86.17,true,Z86,Personal history of Clostridioides difficile infection,Personal history of Clostridioides difficile infection
Z878901,Z87.8901,true,Z87,Personal history of social gender transition,Personal history of social gender transition
Z878902,Z87.8902,true,Z87,Personal history of medical gender transition,Personal history of medical gender transition
Z878903,Z87.8903,true,Z87,Personal history of surgical gender transition,Personal history of surgical gender transition
Z878904,Z87.8904,true,Z87,Personal history of intersex surgery,Personal history of intersex surgery
Z878909,Z87.8909,true,Z87,Personal history of unspecified gender transition,Personal history of unspecified gender transition
Z87893,Z87.893,true,Z87,Personal history of gender detransition,Personal history of gender detransition
