chapter,code,codeTitle,noteType,noteText,referencedCodes,referencedCategories
1,Chapter 1,Certain infectious and parasitic diseases,excludes2,carrier or suspected carrier of infectious disease (Z22.-),Z22.-,Z22
1,Chapter 1,Certain infectious and parasitic diseases,excludes2,certain localized infections - see body system-related chapters,,
1,Chapter 1,Certain infectious and parasitic diseases,excludes2,"infectious and parasitic diseases complicating pregnancy, childbirth and the puerperium (O98.-)",O98.-,O98
1,Chapter 1,Certain infectious and parasitic diseases,excludes2,infectious and parasitic diseases specific to the perinatal period (P35-P39),P35-P39,P35
1,Chapter 1,Certain infectious and parasitic diseases,excludes2,influenza and other acute respiratory infections (J00-J22),J00-J22,J00
1,A06,Amebiasis,excludes2,acanthamebiasis (B60.1-),B60.1-,B60
1,A06,Amebiasis,excludes2,Naegleriasis (B60.2),B60.2,B60
1,A17.1,Meningeal tuberculoma,excludes2,tuberculoma of brain and spinal cord (A17.81),A17.81,A17
1,A18.2,Tuberculous peripheral lymphadenopathy,excludes2,tuberculosis of bronchial and mediastinal lymph nodes (A15.4),A15.4,A15
1,A18.2,Tuberculous peripheral lymphadenopathy,excludes2,tuberculosis of mesenteric and retroperitoneal lymph nodes (A18.39),A18.39,A18
1,A18.2,Tuberculous peripheral lymphadenopathy,excludes2,tuberculous tracheobronchial adenopathy (A15.4),A15.4,A15
1,A18.4,Tuberculosis of skin and subcutaneous tissue,excludes2,lupus erythematosus (L93.-),L93.-,L93
1,A18.4,Tuberculosis of skin and subcutaneous tissue,excludes2,systemic lupus erythematosus (M32.-),M32.-,M32
1,A18.5,Tuberculosis of eye,excludes2,lupus vulgaris of eyelid (A18.4),A18.4,A18
1,A18.6,Tuberculosis of (inner) (middle) ear,excludes2,tuberculosis of external ear (A18.4),A18.4,A18
1,A18.6,Tuberculosis of (inner) (middle) ear,excludes2,tuberculous mastoiditis (A18.03),A18.03,A18
1,A31,Infection due to other mycobacteria,excludes2,leprosy (A30.-),A30.-,A30
1,A31,Infection due to other mycobacteria,excludes2,tuberculosis (A15-A19),A15-A19,A15
1,A36.3,Cutaneous diphtheria,excludes2,erythrasma (L08.1),L08.1,L08
