fiscalYear,code,codeDotted,billable,previousLongTitle,newLongTitle,previousShortTitle,newShortTitle
2018,S62623B,S62.623B,true,"Displaced fracture of medial phalanx of left middle finger, initial encounter for open fracture","Displaced fracture of middle phalanx of left middle finger, initial encounter for open fracture","Disp fx of medial phalanx of l mid finger, init for opn fx","Disp fx of middle phalanx of left middle finger, 7thB"
2018,S62623D,S62.623D,true,"Displaced fracture of medial phalanx of left middle finger, subsequent encounter for fracture with routine healing","Displaced fracture of middle phalanx of left middle finger, subsequent encounter for fracture with routine healing","Disp fx of med phalanx of l mid fngr, 7thD","Disp fx of middle phalanx of left middle finger, 7thD"
2018,S62623G,S62.623G,true,"Displaced fracture of medial phalanx of left middle finger, subsequent encounter for fracture with delayed healing","Displaced fracture of middle phalanx of left middle finger, subsequent encounter for fracture with delayed healing","Disp fx of med phalanx of l mid fngr, 7thG","Disp fx of middle phalanx of left middle finger, 7thG"
2018,S62623K,S62.623K,true,"Displaced fracture of medial phalanx of left middle finger, subsequent encounter for fracture with nonunion","Displaced fracture of middle phalanx of left middle finger, subsequent encounter for fracture with nonunion","Disp fx of med phalanx of l mid fngr, subs for fx w nonunion","Disp fx of middle phalanx of left middle finger, 7thK"
2018,S62623P,S62.623P,true,"Displaced fracture of medial phalanx of left middle finger, subsequent encounter for fracture with malunion","Displaced fracture of middle phalanx of left middle finger, subsequent encounter for fracture with malunion","Disp fx of med phalanx of l mid fngr, subs for fx w malunion","Disp fx of middle phalanx of left middle finger, 7thP"
2018,S62623S,S62.623S,true,"Displaced fracture of medial phalanx of left middle finger, sequela","Displaced fracture of middle phalanx of left middle finger, sequela","Disp fx of medial phalanx of left middle finger, sequela","Disp fx of middle phalanx of left middle finger, sequela"
2018,S62624,S62.624,false,Displaced fracture of medial phalanx of right ring finger,Displaced fracture of middle phalanx of right ring finger,Displaced fracture of medial phalanx of right ring finger,Displaced fracture of middle phalanx of right ring finger
2018,S62624A,S62.624A,true,"Displaced fracture of medial phalanx of right ring finger, initial encounter for closed fracture","Displaced fracture of middle phalanx of right ring finger, initial encounter for closed fracture","Disp fx of medial phalanx of right ring finger, init","Disp fx of middle phalanx of right ring finger, init"
2018,S62624B,S62.624B,true,"Displaced fracture of medial phalanx of right ring finger, initial encounter for open fracture","Displaced fracture of middle phalanx of right ring finger, initial encounter for open fracture","Disp fx of medial phalanx of r rng fngr, init for opn fx","Disp fx of middle phalanx of right ring finger, 7thB"
2018,S62624D,S62.624D,true,"Displaced fracture of medial phalanx of right ring finger, subsequent encounter for fracture with routine healing","Displaced fracture of middle phalanx of right ring finger, subsequent encounter for fracture with routine healing","Disp fx of med phalanx of r rng fngr, 7thD","Disp fx of middle phalanx of right ring finger, 7thD"
2018,S62624G,S62.624G,true,"Displaced fracture of medial phalanx of right ring finger, subsequent encounter for fracture with delayed healing","Displaced fracture of middle phalanx of right ring finger, subsequent encounter for fracture with delayed healing","Disp fx of med phalanx of r rng fngr, 7thG","Disp fx of middle phalanx of right ring finger, 7thG"
2018,S62624K,S62.624K,true,"Displaced fracture of medial phalanx of right ring finger, subsequent encounter for fracture with nonunion","Displaced fracture of middle phalanx of right ring finger, subsequent encounter for fracture with nonunion","Disp fx of med phalanx of r rng fngr, subs for fx w nonunion","Disp fx of middle phalanx of right ring finger, 7thK"
2018,S62624P,S62.624P,true,"Displaced fracture of medial phalanx of right ring finger, subsequent encounter for fracture with malunion","Displaced fracture of middle phalanx of right ring finger, subsequent encounter for fracture with malunion","Disp fx of med phalanx of r rng fngr, subs for fx w malunion","Disp fx of middle phalanx of right ring finger, 7thP"
2018,S62624S,S62.624S,true,"Displaced fracture of medial phalanx of right ring finger, sequela","Displaced fracture of middle phalanx of right ring finger, sequela","Disp fx of medial phalanx of right ring finger, sequela","Disp fx of middle phalanx of right ring finger, sequela"
2018,S62625,S62.625,false,Displaced fracture of medial phalanx of left ring finger,Displaced fracture of middle phalanx of left ring finger,Displaced fracture of medial phalanx of left ring finger,Displaced fracture of middle phalanx of left ring finger
2018,S62625A,S62.625A,true,"Displaced fracture of medial phalanx of left ring finger, initial encounter for closed fracture","Displaced fracture of middle phalanx of left ring finger, initial encounter for closed fracture","Disp fx of medial phalanx of left ring finger, init","Disp fx of middle phalanx of left ring finger, init"
2018,S62625B,S62.625B,true,"Displaced fracture of medial phalanx of left ring finger, initial encounter for open fracture","Displaced fracture of middle phalanx of left ring finger, initial encounter for open fracture","Disp fx of medial phalanx of l rng fngr, init for opn fx","Disp fx of middle phalanx of left ring finger, 7thB"
2018,S62625D,S62.625D,true,"Displaced fracture of medial phalanx of left ring finger, subsequent encounter for fracture with routine healing","Displaced fracture of middle phalanx of left ring finger, subsequent encounter for fracture with routine healing","Disp fx of med phalanx of l rng fngr, 7thD","Disp fx of middle phalanx of left ring finger, 7thD"
2018,S62625G,S62.625G,true,"Displaced fracture of medial phalanx of left ring finger, subsequent encounter for fracture with delayed healing","Displaced fracture of middle phalanx of left ring finger, subsequent encounter for fracture with delayed healing","Disp fx of med phalanx of l rng fngr, 7thG","Disp fx of middle phalanx of left ring finger, 7thG"
2018,S62625K,S62.625K,true,"Displaced fracture of medial phalanx of left ring finger, subsequent encounter for fracture with nonunion","Displaced fracture of middle phalanx of left ring finger, subsequent encounter for fracture with nonunion","Disp fx of med phalanx of l rng fngr, subs for fx w nonunion","Disp fx of middle phalanx of left ring finger, 7thK"
